Institution_fullName,Institution_withOut_abb,Institution_Abbreviation,country
Plymouth Hospitals NHS Trust,Plymouth Hospitals NHS Trust,,United Kingdom (UK)
Tommy's,Tommy's,,United Kingdom (UK)
UK Biocentre Ltd,UK Biocentre Ltd,,United Kingdom (UK)
MR Solutions Ltd.,MR Solutions Ltd.,,United Kingdom (UK)
Dynamic Vision Systems Ltd.,Dynamic Vision Systems Ltd.,,United Kingdom (UK)
Emotech Ltd.,Emotech Ltd.,,United Kingdom (UK)
LMAT Ltd.,LMAT Ltd.,,United Kingdom (UK)
Mediatek Research Uk Limited,Mediatek Research Uk Limited,,United Kingdom (UK)
Abcam plc,Abcam plc,,United Kingdom (UK)
Heilbronn Institute for Mathematical Research,Heilbronn Institute for Mathematical Research,,United Kingdom (UK)
St Helens and Knowsley Teaching Hospitals NHS Trust,St Helens and Knowsley Teaching Hospitals NHS Trust,,United Kingdom (UK)
Sitryx Therapeutics Limited,Sitryx Therapeutics Limited,,United Kingdom (UK)
Cathie Group,Cathie Group,,United Kingdom (UK)
Halo Therapeutics Ltd.,Halo Therapeutics Ltd.,,United Kingdom (UK)
St George's University Hospitals NHS Foundation Trust,St George's University Hospitals NHS Foundation Trust,,United Kingdom (UK)
Chelsea and Westminster Hospital NHS Foundation Trust,Chelsea and Westminster Hospital NHS Foundation Trust,,United Kingdom (UK)
St Mark's Hospital,St Mark's Hospital,,United Kingdom (UK)
Foundation for Liver Research,Foundation for Liver Research,,United Kingdom (UK)
Southern Health NHS Foundation Trust,Southern Health NHS Foundation Trust,,United Kingdom (UK)
Elephants for Africa,Elephants for Africa,,United Kingdom (UK)
Kromek Group plc,Kromek Group plc,,United Kingdom (UK)
Global Canopy,Global Canopy,,United Kingdom (UK)
Honest AI Ltd.,Honest AI Ltd.,,United Kingdom (UK)
3Dmagination Ltd,3Dmagination Ltd,,United Kingdom (UK)
FabricNano Limited,FabricNano Limited,,United Kingdom (UK)
Mindat.org,Mindat.org,,United Kingdom (UK)
Exepathology,Exepathology,,United Kingdom (UK)
Vapourtec Ltd.,Vapourtec Ltd.,,United Kingdom (UK)
Thames Water Utilities Limited,Thames Water Utilities Limited,,United Kingdom (UK)
NHS Wales,NHS Wales,,United Kingdom (UK)
Aptamer Group,Aptamer Group,,United Kingdom (UK)
Palynova,Palynova,,United Kingdom (UK)
Historic England,Historic England,,United Kingdom (UK)
Solent NHS Trust,Solent NHS Trust,,United Kingdom (UK)
Kymab Limited,Kymab Limited,,United Kingdom (UK)
Bering Limited,Bering Limited,,United Kingdom (UK)
PS Analytical,PS Analytical,,United Kingdom (UK)
Highland Ringing Group,Highland Ringing Group,,United Kingdom (UK)
Open Climate Fix,Open Climate Fix,,United Kingdom (UK)
Cambivac Ltd.,Cambivac Ltd.,,United Kingdom (UK)
Thomson Environmental Consultants,Thomson Environmental Consultants,,United Kingdom (UK)
Staffin Dinosaur Museum,Staffin Dinosaur Museum,,United Kingdom (UK)
Elixir Software Ltd.,Elixir Software Ltd.,,United Kingdom (UK)
Abzena PLC,Abzena PLC,,United Kingdom (UK)
Royal United Hospitals Bath NHS Trust,Royal United Hospitals Bath NHS Trust,,United Kingdom (UK)
Brondesbury Medical Centre,Brondesbury Medical Centre,,United Kingdom (UK)
Xampla Ltd.,Xampla Ltd.,,United Kingdom (UK)
NeuroGEARS Ltd.,NeuroGEARS Ltd.,,United Kingdom (UK)
TRACE Wildlife Forensics Network,TRACE Wildlife Forensics Network,,United Kingdom (UK)
University of Northampton,University of Northampton,,United Kingdom (UK)
Metamaterials Ltd.,Metamaterials Ltd.,,United Kingdom (UK)
Alchemab Therapeutics Ltd.,Alchemab Therapeutics Ltd.,,United Kingdom (UK)
Ordnance Survey Ltd,Ordnance Survey Ltd,,United Kingdom (UK)
Catherine Rushworth Curran Ltd.,Catherine Rushworth Curran Ltd.,,United Kingdom (UK)
Thomas Keating Ltd.,Thomas Keating Ltd.,,United Kingdom (UK)
Biocel Limited,Biocel Limited,,United Kingdom (UK)
Zühlke Engineering Ltd.,Zühlke Engineering Ltd.,,United Kingdom (UK)
Mote Research Ltd.,Mote Research Ltd.,,United Kingdom (UK)
The Henry Stewart Group,The Henry Stewart Group,,United Kingdom (UK)
Welsh Government,Welsh Government,,United Kingdom (UK)
Scottish Government,Scottish Government,,United Kingdom (UK)
Liverpool University Hospitals NHS Foundation Trust,Liverpool University Hospitals NHS Foundation Trust,,United Kingdom (UK)
Environment and Archaeology Services,Environment and Archaeology Services,,United Kingdom (UK)
University of Wolverhampton,University of Wolverhampton,,United Kingdom (UK)
QuodIt Ltd.,QuodIt Ltd.,,United Kingdom (UK)
Ground Upwards Ltd.,Ground Upwards Ltd.,,United Kingdom (UK)
Oxford Fertility,Oxford Fertility,,United Kingdom (UK)
Immetacyte Ltd.,Immetacyte Ltd.,,United Kingdom (UK)
Stockport NHS Foundation Trust,Stockport NHS Foundation Trust,,United Kingdom (UK)
NHS Grampian,NHS Grampian,,United Kingdom (UK)
CGG,CGG,,United Kingdom (UK)
Saddle Point Science Ltd.,Saddle Point Science Ltd.,,United Kingdom (UK)
NHS Research Scotland,NHS Research Scotland,,United Kingdom (UK)
Cervest Limited,Cervest Limited,,United Kingdom (UK)
"Elemental Scientific Lasers, LLC","Elemental Scientific Lasers, LLC",,United Kingdom (UK)
Rio Tinto plc,Rio Tinto plc,,United Kingdom (UK)
Oxford Archaeology Ltd.,Oxford Archaeology Ltd.,,United Kingdom (UK)
Imophoron Ltd.,Imophoron Ltd.,,United Kingdom (UK)
East Cheshire NHS Trust,East Cheshire NHS Trust,,United Kingdom (UK)
"Mironid, Ltd.","Mironid, Ltd.",,United Kingdom (UK)
Armagh Observatory,Armagh Observatory,,United Kingdom (UK)
Cellcentric,Cellcentric,,United Kingdom (UK)
Blue Marine Foundation,Blue Marine Foundation,,United Kingdom (UK)
Geant4 Associates International Ltd.,Geant4 Associates International Ltd.,,United Kingdom (UK)
The Jurassic Coast Trust,The Jurassic Coast Trust,,United Kingdom (UK)
Liverpool Women's NHS Foundation Trust,Liverpool Women's NHS Foundation Trust,,United Kingdom (UK)
West Suffolk NHS Foundation Trust,West Suffolk NHS Foundation Trust,,United Kingdom (UK)
VCS Potatoes Ltd.,VCS Potatoes Ltd.,,United Kingdom (UK)
Serco Group plc,Serco Group plc,,United Kingdom (UK)
The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,,United Kingdom (UK)
Cambridge Econometrics,Cambridge Econometrics,,United Kingdom (UK)
Nanolayers Research Computing Ltd.,Nanolayers Research Computing Ltd.,,United Kingdom (UK)
Conservation Research Consultants Ltd.,Conservation Research Consultants Ltd.,,United Kingdom (UK)
St Mary's Catholic Primary School,St Mary's Catholic Primary School,,United Kingdom (UK)
Chester Zoo,Chester Zoo,,United Kingdom (UK)
Muscular Dystrophy UK,Muscular Dystrophy UK,,United Kingdom (UK)
Electrosciences Ltd.,Electrosciences Ltd.,,United Kingdom (UK)
East and North Hertfordhsire NHS Trust,East and North Hertfordhsire NHS Trust,,United Kingdom (UK)
James Wigg GP Practice,James Wigg GP Practice,,United Kingdom (UK)
The Hepatitis C Trust,The Hepatitis C Trust,,United Kingdom (UK)
Teledyne e2v Limited,Teledyne e2v Limited,,United Kingdom (UK)
United Lincolnshire Hospitals NHS Trust,United Lincolnshire Hospitals NHS Trust,,United Kingdom (UK)
York Probe Sources Ltd.,York Probe Sources Ltd.,,United Kingdom (UK)
Edinburgh BioQuarter,Edinburgh BioQuarter,,United Kingdom (UK)
Zenith NeuroTech Ltd.,Zenith NeuroTech Ltd.,,United Kingdom (UK)
CN Bio Innovations Limited,CN Bio Innovations Limited,,United Kingdom (UK)
Scientific Technologies Ltd.,Scientific Technologies Ltd.,,United Kingdom (UK)
Archaeological Research Services Ltd,Archaeological Research Services Ltd,,United Kingdom (UK)
aSciStance Ltd,aSciStance Ltd,,United Kingdom (UK)
Clinical Bioinformatics Research Ltd.,Clinical Bioinformatics Research Ltd.,,United Kingdom (UK)
Ersilia Open Source Initiative,Ersilia Open Source Initiative,,United Kingdom (UK)
SpyBiotech Limited,SpyBiotech Limited,,United Kingdom (UK)
Aspinall Foundation,Aspinall Foundation,,United Kingdom (UK)
Northern Lincolnshire and Goole Hospitals NHS Foundation Trust,Northern Lincolnshire and Goole Hospitals NHS Foundation Trust,,United Kingdom (UK)
Portsmouth Hospitals NHS Trust,Portsmouth Hospitals NHS Trust,,United Kingdom (UK)
"NanoFCM Co., Ltd.","NanoFCM Co., Ltd.",,United Kingdom (UK)
S-cubed Biometrics Ltd.,S-cubed Biometrics Ltd.,,United Kingdom (UK)
University of South Wales,University of South Wales,,United Kingdom (UK)
University of Worcester,University of Worcester,,United Kingdom (UK)
Sheffield Children's NHS Foundation Trust,Sheffield Children's NHS Foundation Trust,,United Kingdom (UK)
West Hertfordshire Hospitals NHS Trust,West Hertfordshire Hospitals NHS Trust,,United Kingdom (UK)
MedChemica Ltd.,MedChemica Ltd.,,United Kingdom (UK)
"BioClavis, Ltd.","BioClavis, Ltd.",,United Kingdom (UK)
Lancashire Teaching Hospitals NHS Foundation Trust,Lancashire Teaching Hospitals NHS Foundation Trust,,United Kingdom (UK)
Cross Pharma Consulting Ltd,Cross Pharma Consulting Ltd,,United Kingdom (UK)
Optima Partners,Optima Partners,,United Kingdom (UK)
NovoPath LLC,NovoPath LLC,,United Kingdom (UK)
County Durham and Darlington NHS Foundation Trust,County Durham and Darlington NHS Foundation Trust,,United Kingdom (UK)
NHS Lanarkshire,NHS Lanarkshire,,United Kingdom (UK)
Altos Labs,Altos Labs,,United Kingdom (UK)
Hull University Teaching Hospitals NHS Trust,Hull University Teaching Hospitals NHS Trust,,United Kingdom (UK)
Immunocore Limited,Immunocore Limited,,United Kingdom (UK)
RSK Group,RSK Group,,United Kingdom (UK)
The Walton Centre NHS Foundation Trust,The Walton Centre NHS Foundation Trust,,United Kingdom (UK)
Quadrucept Bio Ltd.,Quadrucept Bio Ltd.,,United Kingdom (UK)
University Hospitals of Derby and Burton NHS Foundation Trust,University Hospitals of Derby and Burton NHS Foundation Trust,,United Kingdom (UK)
Ridgacre House Surgery,Ridgacre House Surgery,,United Kingdom (UK)
Birmingham and Solihull Mental Health NHS Foundation Trust,Birmingham and Solihull Mental Health NHS Foundation Trust,,United Kingdom (UK)
Epilepsy Society,Epilepsy Society,,United Kingdom (UK)
DIGNOSIS Ltd.,DIGNOSIS Ltd.,,United Kingdom (UK)
Princess Alexandra Hospital NHS Trust,Princess Alexandra Hospital NHS Trust,,United Kingdom (UK)
The Vaccine Group Limited,The Vaccine Group Limited,,United Kingdom (UK)
Church of England,Church of England,,United Kingdom (UK)
South Tees Hospitals NHS Foundation Trust,South Tees Hospitals NHS Foundation Trust,,United Kingdom (UK)
"Imperial College of Science, Technology and Medicine","Imperial College of Science, Technology and Medicine",,United Kingdom (UK)
The Landscape Research Centre Ltd.,The Landscape Research Centre Ltd.,,United Kingdom (UK)
Kettering General Hospital NHS Foundation Trust,Kettering General Hospital NHS Foundation Trust,,United Kingdom (UK)
Shrewsbury and Telford Hospital NHS Trust,Shrewsbury and Telford Hospital NHS Trust,,United Kingdom (UK)
Royal Liverpool and Broadgreen University Hospitals NHS Trust,Royal Liverpool and Broadgreen University Hospitals NHS Trust,,United Kingdom (UK)
Bit Bio Ltd.,Bit Bio Ltd.,,United Kingdom (UK)
Hornet Therapeutics Ltd.,Hornet Therapeutics Ltd.,,United Kingdom (UK)
ProImmune Ltd.,ProImmune Ltd.,,United Kingdom (UK)
Adelphi Group,Adelphi Group,,United Kingdom (UK)
Gibraltar Health Authority,Gibraltar Health Authority,,United Kingdom (UK)
Micropathology Ltd.,Micropathology Ltd.,,United Kingdom (UK)
Cotswold Archaeology,Cotswold Archaeology,,United Kingdom (UK)
South West Heritage Trust,South West Heritage Trust,,United Kingdom (UK)
Ricardo Energy and Environment,Ricardo Energy and Environment,,United Kingdom (UK)
Sherwood Forest Hospitals NHS Foundation Trust,Sherwood Forest Hospitals NHS Foundation Trust,,United Kingdom (UK)
York Teaching Hospital NHS Foundation Trust,York Teaching Hospital NHS Foundation Trust,,United Kingdom (UK)
Ashford and St Peter's Hospitals NHS Foundation Trust,Ashford and St Peter's Hospitals NHS Foundation Trust,,United Kingdom (UK)
The FA Group,The FA Group,,United Kingdom (UK)
Crewe Alexandra Football Club,Crewe Alexandra Football Club,,United Kingdom (UK)
Domainex,Domainex,,United Kingdom (UK)
Oncimmune Limited,Oncimmune Limited,,United Kingdom (UK)
Birmingham Community Healthcare NHS Trust,Birmingham Community Healthcare NHS Trust,,United Kingdom (UK)
Southend University Hospital NHS Foundation Trust,Southend University Hospital NHS Foundation Trust,,United Kingdom (UK)
Surrey and Sussex Healthcare NHS Trust,Surrey and Sussex Healthcare NHS Trust,,United Kingdom (UK)
Milton Keynes Hospital NHS Foundation Trust,Milton Keynes Hospital NHS Foundation Trust,,United Kingdom (UK)
Taunton and Somerset NHS Foundation Trust,Taunton and Somerset NHS Foundation Trust,,United Kingdom (UK)
The Hillingdon Hospitals NHS Foundation Trust,The Hillingdon Hospitals NHS Foundation Trust,,United Kingdom (UK)
Instruct-ERIC,Instruct-ERIC,,United Kingdom (UK)
Inivata,Inivata,,United Kingdom (UK)
Greater Manchester West Mental Health NHS Foundation Trust,Greater Manchester West Mental Health NHS Foundation Trust,,United Kingdom (UK)
Nottinghamshire Healthcare NHS Trust,Nottinghamshire Healthcare NHS Trust,,United Kingdom (UK)
Wye Valley NHS Trust,Wye Valley NHS Trust,,United Kingdom (UK)
Corinium Museum,Corinium Museum,,United Kingdom (UK)
MAP Archaeological Practice Ltd.,MAP Archaeological Practice Ltd.,,United Kingdom (UK)
National Trust,National Trust,,United Kingdom (UK)
Wessex Archaeology Ltd.,Wessex Archaeology Ltd.,,United Kingdom (UK)
The Dudley Group NHS Foundation Trust,The Dudley Group NHS Foundation Trust,,United Kingdom (UK)
Calderdale and Huddersfield NHS Foundation,Calderdale and Huddersfield NHS Foundation,,United Kingdom (UK)
Salisbury NHS Foundation Trust,Salisbury NHS Foundation Trust,,United Kingdom (UK)
Mid Yorkshire Hospitals NHS Trust,Mid Yorkshire Hospitals NHS Trust,,United Kingdom (UK)
Homerton University Hospital NHS Foundation Trust,Homerton University Hospital NHS Foundation Trust,,United Kingdom (UK)
BSG Ecology,BSG Ecology,,United Kingdom (UK)
Cambridgeshire County Council,Cambridgeshire County Council,,United Kingdom (UK)
Royal Surrey County Hospital NHS Trust,Royal Surrey County Hospital NHS Trust,,United Kingdom (UK)
Torbay and Southern Devon NHS Foundation Trust,Torbay and Southern Devon NHS Foundation Trust,,United Kingdom (UK)
Tameside Hospital NHS Foundation Trust,Tameside Hospital NHS Foundation Trust,,United Kingdom (UK)
Chesterfield Royal Hospital NHS Foundation Trust,Chesterfield Royal Hospital NHS Foundation Trust,,United Kingdom (UK)
NHS Borders,NHS Borders,,United Kingdom (UK)
Pennine Acute Hospitals NHS Trust,Pennine Acute Hospitals NHS Trust,,United Kingdom (UK)
Bolton NHS Foundation Trust,Bolton NHS Foundation Trust,,United Kingdom (UK)
Liverpool Heart and Chest Hospital,Liverpool Heart and Chest Hospital,,United Kingdom (UK)
Barnet and Chase Farm Hospitals NHS Trust,Barnet and Chase Farm Hospitals NHS Trust,,United Kingdom (UK)
Whittington Health NHS,Whittington Health NHS,,United Kingdom (UK)
Maidstone and Tunbridge Wells NHS Trust,Maidstone and Tunbridge Wells NHS Trust,,United Kingdom (UK)
North Tees and Hartlepool NHS Foundation Trust,North Tees and Hartlepool NHS Foundation Trust,,United Kingdom (UK)
Gateshead Health NHS Foundation Trust,Gateshead Health NHS Foundation Trust,,United Kingdom (UK)
East Kent Hospitals University NHS Foundation Trust,East Kent Hospitals University NHS Foundation Trust,,United Kingdom (UK)
Yeovil District Hospital NHS Foundation Trust,Yeovil District Hospital NHS Foundation Trust,,United Kingdom (UK)
Dartford and Gravesham NHS Trust,Dartford and Gravesham NHS Trust,,United Kingdom (UK)
Great Western Hospitals NHS Foundation Trust,Great Western Hospitals NHS Foundation Trust,,United Kingdom (UK)
James Paget University Hospitals NHS Foundation Trust,James Paget University Hospitals NHS Foundation Trust,,United Kingdom (UK)
Royal Berkshire NHS Foundation Trust,Royal Berkshire NHS Foundation Trust,,United Kingdom (UK)
Dorset County Hospital NHS Foundation Trust,Dorset County Hospital NHS Foundation Trust,,United Kingdom (UK)
Cornwall Archaeological Unit,Cornwall Archaeological Unit,,United Kingdom (UK)
Craven Museum and Gallery,Craven Museum and Gallery,,United Kingdom (UK)
The Orkney Museum,The Orkney Museum,,United Kingdom (UK)
Keswick Museum,Keswick Museum,,United Kingdom (UK)
Hampshire Cultural Trust,Hampshire Cultural Trust,,United Kingdom (UK)
Manx National Heritage,Manx National Heritage,,United Kingdom (UK)
Tees Archaeology,Tees Archaeology,,United Kingdom (UK)
The Salisbury Museum,The Salisbury Museum,,United Kingdom (UK)
Wiltshire Museum,Wiltshire Museum,,United Kingdom (UK)
Royal Cornwall Museum,Royal Cornwall Museum,,United Kingdom (UK)
Leeds Museum Discovery Centre,Leeds Museum Discovery Centre,,United Kingdom (UK)
MOLES Archaeology,MOLES Archaeology,,United Kingdom (UK)
Museum of London,Museum of London,,United Kingdom (UK)
The Novium Museum,The Novium Museum,,United Kingdom (UK)
The Dock Museum,The Dock Museum,,United Kingdom (UK)
Guernsey Museums and Galleries,Guernsey Museums and Galleries,,United Kingdom (UK)
National Museum of Wales,National Museum of Wales,,United Kingdom (UK)
Royal Pavilion and Museums Trust,Royal Pavilion and Museums Trust,,United Kingdom (UK)
Geophiz.Biz Limited,Geophiz.Biz Limited,,United Kingdom (UK)
Lower Winskill Farm,Lower Winskill Farm,,United Kingdom (UK)
Future-Fit Foundation,Future-Fit Foundation,,United Kingdom (UK)
East Lancashire Hospitals NHS Trust,East Lancashire Hospitals NHS Trust,,United Kingdom (UK)
Achilles Therapeutics plc,Achilles Therapeutics plc,,United Kingdom (UK)
Basildon and Thurrock University Hospitals NHS Foundation Trust,Basildon and Thurrock University Hospitals NHS Foundation Trust,,United Kingdom (UK)
Flamingo Land Ltd.,Flamingo Land Ltd.,,United Kingdom (UK)
Berkshire Healthcare NHS Foundation Trust,Berkshire Healthcare NHS Foundation Trust,,United Kingdom (UK)
Norfolk County Council,Norfolk County Council,,United Kingdom (UK)
East Suffolk and North Essex NHS Foundation Trust,East Suffolk and North Essex NHS Foundation Trust,,United Kingdom (UK)
UCLPartners Academic Health Science Partnership,UCLPartners Academic Health Science Partnership,,United Kingdom (UK)
Modestum LTD,Modestum LTD,,United Kingdom (UK)
Harvard University,Harvard University,,United States of America (USA)
Stanford University,Stanford University,,United States of America (USA)
Yale University,Yale University,,United States of America (USA)
Cornell University,Cornell University,,United States of America (USA)
Princeton University,Princeton University,,United States of America (USA)
Duke University,Duke University,,United States of America (USA)
Purdue University,Purdue University,,United States of America (USA)
Rice University,Rice University,,United States of America (USA)
Scripps Research,Scripps Research,,United States of America (USA)
Brown University,Brown University,,United States of America (USA)
The University of Texas MD Anderson Cancer Center,The University of Texas MD Anderson Cancer Center,,United States of America (USA)
Emory University,Emory University,,United States of America (USA)
The Rockefeller University,The Rockefeller University,,United States of America (USA)
Colorado State University,Colorado State University,,United States of America (USA)
Mayo Clinic,Mayo Clinic,,United States of America (USA)
Iowa State University,Iowa State University,,United States of America (USA)
Dartmouth College,Dartmouth College,,United States of America (USA)
Sandia National Laboratories,Sandia National Laboratories,,United States of America (USA)
Oregon State University,Oregon State University,,United States of America (USA)
Tufts University,Tufts University,,United States of America (USA)
Brandeis University,Brandeis University,,United States of America (USA)
IBM Corporation,IBM Corporation,,United States of America (USA)
Alphabet Inc.,Alphabet Inc.,,United States of America (USA)
Temple University,Temple University,,United States of America (USA)
"Merck & Co., Inc.","Merck & Co., Inc.",,United States of America (USA)
Smithsonian Institution,Smithsonian Institution,,United States of America (USA)
HHMI Janelia Research Campus,HHMI Janelia Research Campus,,United States of America (USA)
U.S. Department of Veterans Affairs,U.S. Department of Veterans Affairs,,United States of America (USA)
Clemson University,Clemson University,,United States of America (USA)
Wayne State University,Wayne State University,,United States of America (USA)
Auburn University,Auburn University,,United States of America (USA)
Cleveland Clinic,Cleveland Clinic,,United States of America (USA)
Simons Foundation,Simons Foundation,,United States of America (USA)
City of Hope,City of Hope,,United States of America (USA)
Pfizer Inc.,Pfizer Inc.,,United States of America (USA)
Georgetown University,Georgetown University,,United States of America (USA)
Tulane University,Tulane University,,United States of America (USA)
Syracuse University,Syracuse University,,United States of America (USA)
Lehigh University,Lehigh University,,United States of America (USA)
Colorado School of Mines,Colorado School of Mines,,United States of America (USA)
Allen Institute,Allen Institute,,United States of America (USA)
Gladstone Institutes,Gladstone Institutes,,United States of America (USA)
"Regeneron Pharmaceuticals, Inc.","Regeneron Pharmaceuticals, Inc.",,United States of America (USA)
University of Wyoming,University of Wyoming,,United States of America (USA)
Thermo Fisher Scientific Inc.,Thermo Fisher Scientific Inc.,,United States of America (USA)
Montana State University,Montana State University,,United States of America (USA)
Stowers Institute for Medical Research,Stowers Institute for Medical Research,,United States of America (USA)
Drexel University,Drexel University,,United States of America (USA)
Johnson & Johnson,Johnson & Johnson,,United States of America (USA)
Kent State University,Kent State University,,United States of America (USA)
Baylor University,Baylor University,,United States of America (USA)
AbbVie Inc.,AbbVie Inc.,,United States of America (USA)
Seattle Children's Hospital,Seattle Children's Hospital,,United States of America (USA)
The Wistar Institute,The Wistar Institute,,United States of America (USA)
Mississippi State University,Mississippi State University,,United States of America (USA)
Amgen Inc.,Amgen Inc.,,United States of America (USA)
University of Denver,University of Denver,,United States of America (USA)
H. Lee Moffitt Cancer Center & Research Institute,H. Lee Moffitt Cancer Center & Research Institute,,United States of America (USA)
DowDuPont Inc.,DowDuPont Inc.,,United States of America (USA)
Oklahoma State University,Oklahoma State University,,United States of America (USA)
Miami University,Miami University,,United States of America (USA)
Microsoft Corporation,Microsoft Corporation,,United States of America (USA)
Marquette University,Marquette University,,United States of America (USA)
University of Idaho,University of Idaho,,United States of America (USA)
"Moderna, Inc.","Moderna, Inc.",,United States of America (USA)
Clarkson University,Clarkson University,,United States of America (USA)
Houston Methodist,Houston Methodist,,United States of America (USA)
Rush University,Rush University,,United States of America (USA)
Ludwig Cancer Research,Ludwig Cancer Research,,United States of America (USA)
Augusta University,Augusta University,,United States of America (USA)
Boise State University,Boise State University,,United States of America (USA)
"Leidos Holdings, Inc.","Leidos Holdings, Inc.",,United States of America (USA)
Waters Corporation,Waters Corporation,,United States of America (USA)
Stevens Institute of Technology,Stevens Institute of Technology,,United States of America (USA)
Bruker Corporation,Bruker Corporation,,United States of America (USA)
"Vir Biotechnology, Inc.","Vir Biotechnology, Inc.",,United States of America (USA)
"23andMe, Inc.","23andMe, Inc.",,United States of America (USA)
Northwell Health,Northwell Health,,United States of America (USA)
Stanford Health Care,Stanford Health Care,,United States of America (USA)
Illinois State University,Illinois State University,,United States of America (USA)
"Ionis Pharmaceuticals, Inc.","Ionis Pharmaceuticals, Inc.",,United States of America (USA)
Eli Lilly and Company,Eli Lilly and Company,,United States of America (USA)
Stanford Children's Health,Stanford Children's Health,,United States of America (USA)
Claremont Colleges,Claremont Colleges,,United States of America (USA)
Wesleyan University,Wesleyan University,,United States of America (USA)
Albany Medical Center,Albany Medical Center,,United States of America (USA)
"Gilead Sciences, Inc.","Gilead Sciences, Inc.",,United States of America (USA)
Children's National Health System,Children's National Health System,,United States of America (USA)
Buck Institute for Research on Aging,Buck Institute for Research on Aging,,United States of America (USA)
Oakland University,Oakland University,,United States of America (USA)
Field Museum of Natural History,Field Museum of Natural History,,United States of America (USA)
University of South Alabama,University of South Alabama,,United States of America (USA)
University of North Carolina at Greensboro,University of North Carolina at Greensboro,,United States of America (USA)
Intel Corporation,Intel Corporation,,United States of America (USA)
"Bioqual, Inc.","Bioqual, Inc.",,United States of America (USA)
Uniformed Services University of the Health Sciences,Uniformed Services University of the Health Sciences,,United States of America (USA)
Central Michigan University,Central Michigan University,,United States of America (USA)
South Dakota State University,South Dakota State University,,United States of America (USA)
Corning Incorporated,Corning Incorporated,,United States of America (USA)
Biogen Inc.,Biogen Inc.,,United States of America (USA)
Rowan University,Rowan University,,United States of America (USA)
HudsonAlpha Institute for Biotechnology,HudsonAlpha Institute for Biotechnology,,United States of America (USA)
Kaiser Permanente,Kaiser Permanente,,United States of America (USA)
Hackensack Meridian Health,Hackensack Meridian Health,,United States of America (USA)
St. John's University,St. John's University,,United States of America (USA)
Wright State University,Wright State University,,United States of America (USA)
New York-Presbyterian Hospital,New York-Presbyterian Hospital,,United States of America (USA)
Smith College,Smith College,,United States of America (USA)
HRL Laboratories LLC,HRL Laboratories LLC,,United States of America (USA)
Villanova University,Villanova University,,United States of America (USA)
Versiti Blood Research Institute,Versiti Blood Research Institute,,United States of America (USA)
MedStar Health,MedStar Health,,United States of America (USA)
Shriners Hospitals for Children,Shriners Hospitals for Children,,United States of America (USA)
Cary Institute of Ecosystem Studies,Cary Institute of Ecosystem Studies,,United States of America (USA)
Wichita State University,Wichita State University,,United States of America (USA)
Danaher Corporation,Danaher Corporation,,United States of America (USA)
Denali Therapeutics Inc.,Denali Therapeutics Inc.,,United States of America (USA)
The Nature Conservancy,The Nature Conservancy,,United States of America (USA)
Rady Children's Hospital-San Diego,Rady Children's Hospital-San Diego,,United States of America (USA)
University of San Diego,University of San Diego,,United States of America (USA)
"Meta Platforms, Inc.","Meta Platforms, Inc.",,United States of America (USA)
Howard University,Howard University,,United States of America (USA)
General Atomics,General Atomics,,United States of America (USA)
Reed College,Reed College,,United States of America (USA)
Chapman University,Chapman University,,United States of America (USA)
Abbott Laboratories,Abbott Laboratories,,United States of America (USA)
American University,American University,,United States of America (USA)
Montclair State University,Montclair State University,,United States of America (USA)
PTC Therapeutics,PTC Therapeutics,,United States of America (USA)
Duke Medical Center,Duke Medical Center,,United States of America (USA)
Ford Motor Company,Ford Motor Company,,United States of America (USA)
"NanoString Technologies, Inc.","NanoString Technologies, Inc.",,United States of America (USA)
Creighton University,Creighton University,,United States of America (USA)
Mote Marine Laboratory,Mote Marine Laboratory,,United States of America (USA)
SRI International,SRI International,,United States of America (USA)
California Environmental Protection Agency,California Environmental Protection Agency,,United States of America (USA)
Trinity University,Trinity University,,United States of America (USA)
HP Inc.,HP Inc.,,United States of America (USA)
Bigelow Laboratory for Ocean Sciences,Bigelow Laboratory for Ocean Sciences,,United States of America (USA)
The World Bank,The World Bank,,United States of America (USA)
The Aerospace Corporation,The Aerospace Corporation,,United States of America (USA)
Furman University,Furman University,,United States of America (USA)
Emory Healthcare,Emory Healthcare,,United States of America (USA)
GATS Inc.,GATS Inc.,,United States of America (USA)
Raytheon Company,Raytheon Company,,United States of America (USA)
University of the Pacific,University of the Pacific,,United States of America (USA)
Appalachian State University,Appalachian State University,,United States of America (USA)
Woodwell Climate Research Center,Woodwell Climate Research Center,,United States of America (USA)
"Adroit Materials, Inc.","Adroit Materials, Inc.",,United States of America (USA)
Williams College,Williams College,,United States of America (USA)
Amherst College,Amherst College,,United States of America (USA)
"Sema4, Inc.","Sema4, Inc.",,United States of America (USA)
"Earth Networks, Inc.","Earth Networks, Inc.",,United States of America (USA)
Donald Danforth Plant Science Center,Donald Danforth Plant Science Center,,United States of America (USA)
"Amazon.com, Inc.","Amazon.com, Inc.",,United States of America (USA)
Promega Corporation,Promega Corporation,,United States of America (USA)
10x Genomics,10x Genomics,,United States of America (USA)
Rigetti Computing,Rigetti Computing,,United States of America (USA)
D. E. Shaw Research,D. E. Shaw Research,,United States of America (USA)
Meharry Medical College,Meharry Medical College,,United States of America (USA)
